institution,state,region,ownership,hbcu,predominetly_black_institution,admission_rate,sat_verbal_first_quartile,sat_verbal_median,sat_verbal_third_quartile,sat_math_first_quartile,sat_math_median,sat_math_third_quartile,online_only,n_students,n_students_white,n_students_black,n_students_hispanic,n_students_asian,n_students_native,share_low_income,avg_cost_attendance,tuition_in_state,tuition_out_of_state,completion_rate,completion_rate_white,completion_rate_black,completion_rate_hispanic,completion_rate_asian,completion_rate_native,load_default_rate_2yr,load_default_rate_3yr,mean_earnings_10yr_after,median_earnings_10yr_after
Front Range Community College,CO,7,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,10781,0.6064,0.021,0.2583,0.0393,0.0065,0.5014126029,16836,4126,15776,0.2712,0.2864,0.1579,0.2721,0.122,0.3333,0.162,0,40600,45910
Iliff School of Theology,CO,7,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,PS,NA
Colorado Mesa University,CO,7,Public,0,0,0.8176,470,545,600,460,529,580,In-person,7654,0.6577,0.0188,0.2136,0.0153,0.0051,0.3628276028,22346,9297,23019,0.3915,0.4439,0.1216,0.3167,0.3226,0.1818,0.12,0,42300,45823
Metropolitan State University of Denver,CO,7,Public,0,0,0.9791,460,520,570,450,505,560,In-person,14947,0.4438,0.073,0.3548,0.0462,0.0079,0.4603893719,22428,10260,28092,0.2898,0.3097,0.2,0.2657,0.4219,0.3333,0.107,0,44200,52093
Morgan Community College,CO,7,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,635,0.4,0.1291,0.4331,0.0079,0.0047,0.5200845666,17432,3930,15579,0.3579,0.4091,NA,0.3182,NA,NA,0.208,0,34000,39429
Naropa University,CO,7,Private nonprofit,0,0,1,NA,NA,NA,NA,NA,NA,In-person,338,0.6716,0.0089,0.1065,0.0296,0.0089,0.5959183673,51737,34600,34600,0.3103,0.4,0,0.125,NA,NA,0.028,0,27800,28720
Nazarene Bible College,CO,7,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,Online only,316,0.7848,0.057,0.0981,0.0127,0.0095,0.4797979798,NA,10002,10002,0.6667,1,NA,0,NA,NA,0.11,0,34400,41450
University of Northern Colorado,CO,7,Public,0,0,0.7854,500,555,610,490,535,590,In-person,6024,0.6116,0.0443,0.2533,0.0214,0.0032,0.3013568198,26352,11332,24722,0.5191,0.5614,0.5132,0.4381,0.537,0.4545,0.043,0,47100,52231
Pikes Peak State College,CO,7,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,9153,0.5334,0.0771,0.2529,0.0338,0.0074,0.5769179453,17283,4055,15714,0.2293,0.2452,0.1333,0.2035,0.25,0.1333,0.183,0,35700,40796
Pueblo Community College,CO,7,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,3237,0.4875,0.0324,0.393,0.0124,0.0244,0.6385869565,19542,4626,16275,0.2328,0.2252,0.1667,0.2708,NA,0,0.245,0,31900,37434
Red Rocks Community College,CO,7,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,4146,0.6179,0.0244,0.2402,0.0294,0.0055,0.5412229997,17444,4471,16135,0.3871,0.4597,0.1875,0.264,0.2353,0.3333,0.169,0,43300,46288
Regis University,CO,7,Private nonprofit,0,0,0.7609,520,580,620,500,570,600,In-person,2239,0.498,0.0509,0.2957,0.063,0.0049,0.3423423423,52045,42220,42220,0.668,0.6744,0.625,0.6716,0.6563,1,0.024,0,62700,72105
Rocky Mountain College of Art and Design,CO,7,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,2041,0.5698,0.1039,0.1416,0.0363,0.0206,0.5043731778,30447,22607,22607,0.4091,0.4615,0,0.4,1,0,0.074,0,36700,42958
Colorado State University Pueblo,CO,7,Public,0,0,0.9879,460,520,590,440,515,560,In-person,3008,0.4438,0.0622,0.3467,0.0203,0.008,0.3949656751,22545,9245,16324,0.3505,0.4,0.2222,0.3559,0.3,0,0.113,0,41600,55563
Trinidad State College,CO,7,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,1075,0.3414,0.0735,0.454,0.0102,0.0288,0.6166666667,20472,5194,8314,0.5044,0.5618,0.3077,0.5217,NA,0.3333,0.232,0,33200,36475
United States Air Force Academy,CO,0,Public,0,0,0.1623,650,660,730,660,689,750,In-person,4085,0.6345,0.0583,0.1192,0.0722,0.0017,NA,NA,NA,NA,0.9991,1,0.9859,1,1,1,NA,NA,NA,NA
Western Colorado University,CO,7,Public,0,0,0.9185,510,580,640,500,555,630,In-person,1673,0.7047,0.0341,0.1201,0.0126,0.0096,0.2877030162,24833,10813,22837,0.4698,0.5032,0.2353,0.3934,0.5,0.5,0.048,0,43400,46833
Albertus Magnus College,CT,1,Private nonprofit,0,0,0.805,NA,NA,NA,NA,NA,NA,In-person,978,0.3374,0.3088,0.2362,0.0184,0.001,0.4400494438,53621,37682,37682,0.4961,0.6383,0.4483,0.425,0,0,0.051,0,56000,60144
University of Bridgeport,CT,1,Private nonprofit,0,0,0.8151,460,520,590,475,520,570,In-person,1604,0.2338,0.3435,0.2955,0.0374,0.0069,0.4470509383,53749,35760,35760,0.4689,0.5634,0.4231,0.4912,0.5,0.25,0.086,0,47100,50323
Central Connecticut State University,CT,1,Public,0,0,0.7671,480,545,590,460,520,570,In-person,7500,0.5621,0.1315,0.1796,0.0529,9e-4,0.3297482278,22904,12106,24994,0.5347,0.5484,0.4711,0.471,0.5227,0.25,0.071,0,51600,58562
Charter Oak State College,CT,1,Public,0,0,NA,NA,NA,NA,NA,NA,NA,Online only,1426,0.5358,0.1732,0.2062,0.0295,7e-4,0.3941908714,18386,8254,10796,1,1,NA,NA,NA,NA,0.052,0,43700,64209
Connecticut College,CT,1,Private nonprofit,0,0,0.404,700,714,750,660,691,740,In-person,1915,0.6742,0.0439,0.117,0.0334,0,0.1906693712,79575,63005,63005,0.8411,0.8245,0.875,0.875,0.9167,NA,0.023,0,62900,75001
University of Connecticut,CT,1,Public,0,0,0.5451,610,655,710,610,675,730,In-person,18768,0.5131,0.0696,0.1506,0.1313,0.001,0.2552891396,35236,19434,42102,0.8318,0.871,0.754,0.7521,0.8291,0.5,0.032,0,66000,73997
Goodwin University,CT,1,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,2802,0.4143,0.247,0.2573,0.0228,0.0032,0.506534906,36485,21198,21198,0.4754,0.625,0.4,0.3571,NA,NA,0.102,0,43000,43596
Eastern Connecticut State University,CT,1,Public,0,0,0.7383,500,NA,610,480,NA,580,In-person,3534,0.652,0.0891,0.1296,0.0269,8e-4,0.2776600254,28648,12910,16146,0.6006,0.6296,0.4474,0.4409,0.8182,0.6667,0.042,0,49000,56469
Fairfield University,CT,1,Private nonprofit,0,0,0.5218,620,655,680,620,650,690,In-person,4706,0.8094,0.0115,0.0661,0.0208,4e-4,0.1351139042,71215,54455,54455,0.8419,0.8545,0.72,0.7671,0.8966,0,0.008,0,80100,88794
Rensselaer at Hartford,CT,1,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,Online only,NA,NA,NA,NA,NA,NA,0.1692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,0,86000,102051
Hartford International University for Religion and Peace,CT,1,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.02,NA,NA
University of Hartford,CT,1,Private nonprofit,0,0,0.8275,550,595,660,530,580,630,In-person,3876,0.5041,0.1705,0.154,0.0431,0.0044,0.2313093763,60887,46148,46148,0.5694,0.651,0.4153,0.4874,0.7,0.75,0.039,0,51700,60823
Holy Apostles College and Seminary,CT,1,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,196,0.6071,0,0.1837,0.0561,0,0.4,11530,9440,9440,NA,NA,NA,NA,NA,NA,0.016,0,NA,NA
Mitchell College,CT,1,Private nonprofit,0,0,0.7684,NA,NA,NA,NA,NA,NA,In-person,480,0.5083,0.1521,0.1833,0.0188,0.0021,0.3523489933,52006,37250,37250,0.6218,0.6721,0.4333,0.8235,0.75,0,0.091,0.006,34000,39115
University of New Haven,CT,1,Private nonprofit,0,0,0.9124,550,605,640,540,585,630,In-person,4765,0.5752,0.1129,0.1931,0.0323,0.0025,0.2185769067,60918,44184,44184,0.621,0.6725,0.5141,0.5211,0.5143,1,0.034,0,54600,60126
Paier College,CT,1,Private for-profit,0,0,0.9545,NA,NA,NA,NA,NA,NA,In-person,198,0.4495,0.2273,0.2222,0.0455,0.0051,0.425,34613,24480,24480,0.5714,0.3333,0.5,1,NA,NA,0.061,0.056,33900,NA
Post University,CT,1,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,14297,0.4205,0.3183,0.1433,0.0108,0.0084,0.6998372472,27054,16610,16610,0.3155,0.275,0.125,0.2778,NA,0,0.101,0,46500,38696
Quinnipiac University,CT,1,Private nonprofit,0,0,0.8379,570,NA,650,550,NA,650,In-person,6021,0.7427,0.0437,0.1051,0.0382,8e-4,0.1491467577,68761,51790,51790,0.7726,0.7992,0.55,0.7045,0.7037,1,0.012,0,67700,83759
Sacred Heart University,CT,1,Private nonprofit,0,0,0.6571,NA,NA,NA,NA,NA,NA,In-person,6729,0.7655,0.0367,0.1233,0.0152,6e-4,0.1557971014,64621,46580,46580,0.7292,0.7592,0.5357,0.6887,0.68,NA,0.032,0,61800,75059
University of Saint Joseph,CT,1,Private nonprofit,0,0,0.7485,530,536,645,540,573,630,In-person,821,0.6041,0.1084,0.1766,0.0597,0,0.3621013133,54432,44366,44366,0.608,0.6923,0.5,0.4783,0.7778,0,0.03,0,52900,59908
Southern Connecticut State University,CT,1,Public,0,0,0.8292,NA,NA,NA,NA,NA,NA,In-person,6246,0.4579,0.1862,0.2269,0.036,0.0013,0.3412447257,25857,12438,25326,0.5322,0.584,0.4927,0.4542,0.5306,0,0.042,0,48100,55043
Trinity College,CT,1,Private nonprofit,0,0,0.3614,660,702,720,640,705,750,In-person,2141,0.6095,0.0612,0.0859,0.042,0.0019,0.2145748988,79605,63930,63930,0.8357,0.8351,0.6786,0.9111,0.7778,NA,0.029,0,74300,90779
United States Coast Guard Academy,CT,0,Public,0,0,0.2386,580,645,680,580,650,685,In-person,1037,0.6258,0.0309,0.1138,0.0733,0.0019,NA,NA,NA,NA,0.8653,0.8646,0.7826,0.88,0.9375,NA,NA,NA,NA,NA
Wesleyan University,CT,1,Private nonprofit,0,0,0.1443,660,700,750,660,705,760,In-person,3006,0.5442,0.0549,0.1058,0.0902,3e-4,0.2905198777,82245,64322,64322,0.9315,0.9267,0.95,0.956,0.9434,0.5,0.007,0,63400,73897
Western Connecticut State University,CT,1,Public,0,0,0.8351,520,NA,630,490,NA,600,In-person,3679,0.5216,0.0881,0.2721,0.0478,0.0033,0.3161052146,22683,12345,25239,0.5121,0.5503,0.4479,0.4306,0.5455,1,0.042,0,50400,59115
Yale University,CT,1,Private nonprofit,0,0,0.0457,740,755,780,760,775,800,In-person,6639,0.3514,0.083,0.1481,0.2238,0.0032,0.317373461,82170,62250,62250,0.9781,0.9813,0.9796,0.9503,0.9921,0.9167,0.01,0,124400,100533
Delaware Technical Community College-Terry,DE,2,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,10030,0.4476,0.2726,0.1627,0.0353,0.0041,0.5572604268,13041,4945,11808,0.1969,0.2337,0.1166,0.1977,0.2364,0.3,0.146,0,35900,41448
Delaware State University,DE,2,Public,1,0,0.5492,420,NA,530,410,NA,530,In-person,4588,0.0811,0.714,0.0732,0.0076,0.0017,0.3938404106,24248,8358,18280,0.4548,0.4429,0.4459,0.4074,0.3333,0.6667,0.101,0,38400,49307
University of Delaware,DE,2,Public,0,0,0.7381,600,628,680,590,620,680,In-person,18665,0.6845,0.0642,0.0971,0.0559,0.0011,0.1356401384,28744,15410,37930,0.7961,0.8211,0.657,0.7381,0.8,0.625,0.035,0,64000,72950
Goldey-Beacom College,DE,2,Private nonprofit,0,0,0.6272,NA,NA,NA,NA,NA,NA,In-person,617,0.3793,0.2253,0.1588,0.013,0.0016,0.418879056,23846,13050,13050,0.6709,0.7903,0.5556,0.625,1,NA,0.056,0,48800,59892
Wilmington University,DE,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,8210,0.4922,0.2133,0.1571,0.0305,0.0049,0.4836566569,19155,12030,12030,0.1957,0.225,0.1042,0.2069,0,0.25,0.07,0,46600,53844
American University,DC,2,Private nonprofit,0,0,0.4063,660,695,730,630,665,700,In-person,7669,0.5598,0.076,0.1213,0.0674,4e-4,0.1770705834,68494,53889,53889,0.7943,0.7968,0.7813,0.7742,0.8125,1,0.028,0,67700,77370
The Catholic University of America,DC,2,Private nonprofit,0,0,0.8559,NA,NA,NA,NA,NA,NA,In-person,2958,0.6268,0.0788,0.1623,0.0291,7e-4,0.1279178338,70559,54186,54186,0.7635,0.7844,0.6071,0.734,0.5517,NA,0.018,0,60500,73250
University of the District of Columbia,DC,2,Public,1,0,NA,NA,NA,NA,NA,NA,NA,In-person,2912,0.0388,0.5611,0.2273,0.0172,0.0027,0.6391437309,19905,6152,13004,0.3515,0.1429,0.3121,0.3548,0.6667,NA,0.127,0,39400,44236
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,DC,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
Gallaudet University,DC,2,Private nonprofit,0,0,0.5921,370,484,572,382,478,517,In-person,910,0.4187,0.1747,0.2176,0.0505,0.0066,0.5570866142,39402,17712,17712,0.4367,0.4919,0.3191,0.4,0.5,1,0.069,0.003,34300,43101
George Washington University,DC,2,Private nonprofit,0,0,0.4898,670,700,740,660,700,750,In-person,10798,0.498,0.0771,0.1301,0.1355,6e-4,0.2454545455,77900,62200,62200,0.848,0.8553,0.8037,0.8365,0.881,NA,0.01,0,82400,90873
Georgetown University,DC,2,Private nonprofit,0,0,0.1223,700,735,770,710,745,790,In-person,7343,0.5017,0.0511,0.0716,0.1419,8e-4,0.215339233,81515,62052,62052,0.9561,0.961,0.899,0.9507,0.966,NA,0.005,0,125200,103494
Howard University,DC,2,Private nonprofit,1,0,0.5343,540,600,650,510,585,640,In-person,9243,0.0031,0.6851,0.0649,0.0356,0.0117,0.3883928571,48214,31050,31050,0.7,1,0.6858,0.375,0.8462,0,0.096,0,54500,63066
Strayer University-District of Columbia,DC,2,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,315,0.0762,0.8222,0.073,0.0032,0.0032,0.7151960619,NA,13515,13515,0.1818,NA,0.25,NA,NA,NA,0.105,0,53500,40092
Trinity Washington University,DC,2,Private nonprofit,0,1,0.9697,NA,NA,NA,NA,NA,NA,In-person,1369,0.0161,0.5741,0.3389,0.0124,7e-4,0.6009334889,32886,25610,25610,0.3801,NA,0.3188,0.5,1,0,0.107,0,43100,53804
Wesley Theological Seminary,DC,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,0,NA,NA
The Baptist College of Florida,FL,5,Private nonprofit,0,0,0.9211,500,509,650,430,484,550,In-person,254,0.748,0.0709,0.0236,0.0276,0.0118,0.4623655914,19539,12450,12450,0.5938,0.56,0.6667,NA,NA,0,0.055,0,36200,42836
Barry University,FL,5,Private nonprofit,0,0,0.5963,NA,NA,NA,NA,NA,NA,In-person,2539,0.1225,0.3777,0.3734,0.013,0.0024,0.5024077047,44485,32500,32500,0.3904,0.3721,0.3153,0.4407,0,0.5,0.04,0,50900,55966
Bethune-Cookman University,FL,5,Private nonprofit,1,0,0.8497,430,470,500,400,435,480,In-person,2628,0.0068,0.804,0.0582,4e-4,0.0019,0.6099498328,29551,14794,14794,0.3471,0.1818,0.3532,0.3714,NA,0,0.122,0,32300,38518
Lynn University,FL,5,Private nonprofit,0,0,0.8011,530,555,610,505,560,575,In-person,2789,0.4873,0.1008,0.1972,0.0169,0.0022,0.3898050975,58188,41550,41550,0.5209,0.5246,0.5441,0.4272,0.3,0.5,0.063,0,46500,49006
Eastern Florida State College,FL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,9714,0.6024,0.1109,0.1743,0.0242,0.0029,0.6147596479,10915,2496,9739,0.5117,0.5549,0.3793,0.5022,0.6,0.6667,0.134,0,34000,37195
Broward College,FL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,24521,0.1269,0.322,0.3747,0.0299,0.0015,0.659592305,22104,2830,8952,0.3472,0.4123,0.2868,0.3537,0.5345,0.2,0.081,0,38700,41939
Albizu University-Miami,FL,5,Private nonprofit,0,0,0.8889,NA,NA,NA,NA,NA,NA,In-person,217,0.0323,0.0138,0.8387,0,0,0.7221052632,36515,13719,13719,0.6667,1,NA,0.6,NA,NA,0.074,0.001,34000,41544
College of Central Florida,FL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,4510,0.6038,0.1131,0.1745,0.0215,0.004,0.6279407493,14651,2710,10517,0.4493,0.4275,0.3889,0.4934,0.5294,1,0.213,0,34900,38203
Johnson University Florida,FL,5,Private nonprofit,0,0,0.7931,450,470,550,420,445,490,In-person,154,0.2792,0.2273,0.2662,0.0065,0.0065,0.2734225621,29073,18614,18614,0.4857,0.5517,0,0,1,NA,0.045,0,31700,40596
University of Central Florida,FL,5,Public,0,0,0.4104,610,640,680,590,620,680,In-person,57874,0.4474,0.0981,0.3011,0.0737,0.0012,0.4669644851,22662,6368,22467,0.7558,0.7665,0.7322,0.7439,0.801,0.6667,0.04,0,51200,58308
Chipola College,FL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,1246,0.6814,0.1629,0.0578,0.0064,0.004,0.6537433155,9256,3120,8950,0.5169,0.564,0.3571,0.4762,NA,0.5,0.122,0,33600,37378
Daytona State College,FL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,8884,0.54990000000000006,0.133,0.215,0.0276,0.0011,0.6250566038,10618,3106,11994,0.4935,0.5495,0.2143,0.5455,0.4444,NA,0.179,0,32700,37096
South University-West Palm Beach,FL,5,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,303,0.1881,0.5017,0.2145,0.0198,0.0033,0.6569544875,25718,17014,17014,0.087,0.2,0.1667,0,0,NA,0.174,0,40200,34421
Eckerd College,FL,5,Private nonprofit,0,0,0.6509,580,NA,670,540,NA,630,In-person,1986,0.7618,0.0247,0.0916,0.0206,0.002,0.2050632911,65354,48900,48900,0.6754,0.6812,0.7059,0.5833,0.7778,1,0.062,0,46700,51819
Florida SouthWestern State College,FL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,10623,0.3584,0.1366,0.366,0.0176,0.0033,0.5580536374,14008,3401,12979,0.4095,0.4071,0.427,0.4156,0.4333,0.3,0.12,0,38200,43421
Edward Waters University,FL,5,Private nonprofit,1,0,0.8354,NA,NA,NA,NA,NA,NA,In-person,1142,0.0482,0.8511,0.035,0.0044,0.0026,0.6789617486,26598,14878,14878,0.303,0.6,0.2933,0.8333,0,NA,0.115,0,28700,34782
Embry-Riddle Aeronautical University-Daytona Beach,FL,5,Private nonprofit,0,0,0.6453,570,615,660,570,620,680,In-person,7155,0.5755,0.0492,0.15,0.0488,0.0024,0.3650488547,57754,40564,40564,0.6348,0.6562,0.5135,0.5659,0.7547,NA,0.037,0,70300,84131
Florida Agricultural and Mechanical University,FL,5,Public,1,0,0.3293,520,555,590,490,525,560,In-person,7436,0.028,0.9013,0.0464,0.0034,7e-4,0.5036591741,23985,5785,17725,0.6041,0.5161,0.6098,0.463,0.6667,NA,0.106,0,44700,44349
Florida Atlantic University,FL,5,Public,0,0,0.8132,520,565,610,500,545,590,In-person,23074,0.4039,0.1869,0.2895,0.0392,0.0013,0.512169614,20118,4879,17324,0.6214,0.5906,0.6459,0.646,0.6886,0.3333,0.055,0,48300,56746
Florida State College at Jacksonville,FL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,16775,0.4369,0.2699,0.0987,0.0342,0.0036,0.5698568682,8642,2878,9992,0.3741,0.4079,0.2618,0.3396,0.473,0,0.136,0,35800,42244
Flagler College,FL,5,Private nonprofit,0,0,0.8095,540,560,640,510,525,590,In-person,2591,0.7267,0.0336,0.1235,0.0104,0.0019,0.3007352941,38585,23760,23760,0.5717,0.5689,0.5714,0.7143,0.4286,0.5,0.05,0,42200,49483
Florida College,FL,5,Private nonprofit,0,0,0.7168,490,535,620,440,495,580,In-person,550,0.7673,0.0345,0.0691,0.0218,0.0127,0.2097902098,32090,18060,18060,0.6761,0.7324,0.3,0.3846,NA,NA,0.062,0,42700,43445
AdventHealth University,FL,5,Private nonprofit,0,0,0.3372,NA,NA,NA,NA,NA,NA,In-person,917,0.2988,0.1625,0.3588,0.0502,0.0011,0.4753173484,35258,20340,20340,0.5469,0.5714,0.5,0.5313,0.6667,NA,0.043,0,58200,72282
Florida Institute of Technology,FL,5,Private nonprofit,0,0,0.6437,560,620,660,560,620,660,In-person,3114,0.5453,0.0491,0.1416,0.0177,0.0032,0.4871541502,57630,43670,43670,0.6702,0.665,0.6383,0.7018,0.7143,0,0.107,0,61200,43137
Florida International University,FL,5,Public,0,0,0.6386,550,590,640,510,560,610,In-person,39277,0.0915,0.1158,0.6685,0.026,6e-4,0.5891659501,19666,6565,18963,0.6918,0.587,0.6443,0.7109,0.7643,0.3333,0.065,0,52000,60249
The College of the Florida Keys,FL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,897,0.4905,0.1293,0.2776,0.0067,0.0011,0.5469879518,20982,3276,13162,0.3657,0.3205,0.6364,0.4242,0,NA,0.105,0,33400,42508
Florida Memorial University,FL,5,Private nonprofit,1,0,0.6994,NA,NA,NA,NA,NA,NA,In-person,1098,0.0146,0.7459,0.0774,9e-4,0.0018,0.6434195726,31302,16836,16836,0.3547,0.2,0.3253,0.2727,NA,NA,0.199,0,29600,36624
Florida Southern College,FL,5,Private nonprofit,0,0,0.5661,560,635,660,520,613,630,In-person,2702,0.6884,0.0607,0.1484,0.0252,0.0056,0.2632027257,55055,40500,40500,0.6812,0.701,0.4483,0.6329,0.875,0.8571,0.063,0,44400,55294
Florida State University,FL,5,Public,0,0,0.2504,620,640,690,590,620,680,In-person,32691,0.5831,0.0779,0.2304,0.0343,0.0012,0.3533132842,23308,5656,18786,0.8479,0.8437,0.8721,0.8591,0.8273,0.6154,0.05,0,53900,61675
University of Florida,FL,5,Public,0,0,0.2335,650,685,730,650,700,760,In-person,33673,0.5078,0.0505,0.2407,0.112,6e-4,0.3854748603,21359,6381,28659,0.9001,0.9097,0.8271,0.895,0.9158,0.75,0.031,0,65700,71588
Full Sail University,FL,5,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,25526,0.3647,0.2774,0.184,0.0172,0.0069,0.6194749695,37873,26307,26307,0.4105,0.4495,0.2999,0.48,0.6947,0.2143,0.136,0,46000,38219
Gulf Coast State College,FL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,3466,0.6994,0.1163,0.0736,0.0335,0.0043,0.6089775561,12065,2370,8635,0.3823,0.415,0.2254,0.3947,0.2857,0.4286,0.154,0,34000,38359
Hobe Sound Bible College,FL,5,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,165,0.7212,0.0667,0.0788,0.0061,0,0.5869565217,17228,7960,7960,0.3125,0.2667,NA,1,NA,NA,0.078,0.113,PS,39863
Indian River State College,FL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,11481,0.3415,0.1296,0.4578,0.0118,0.0012,0.6261330597,11316,2764,10201,0.4609,0.4847,0.384,0.4846,0.6957,0.1429,0.137,0,33800,38315
AI Miami International University of Art and Design,FL,5,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,866,0.2794,0.2102,0.3129,0.0092,0.0058,0.6313485114,39876,20794,20794,0.1473,0.1,0.2549,0.0955,0.25,0,0.124,0,34800,33415
Jacksonville University,FL,5,Private nonprofit,0,0,0.5769,540,580,620,520,555,620,In-person,2541,0.5081,0.1739,0.1484,0.0244,0.0035,0.3193717277,58927,43670,43670,0.5313,0.6094,0.39,0.5303,0.6364,0.5,0.048,0,57100,68010
Keiser University-Ft Lauderdale,FL,5,Private nonprofit,0,0,0.9653,NA,NA,NA,NA,NA,NA,In-person,16649,0.2463,0.1771,0.3009,0.0193,0.0058,0.6435142059,43353,23248,23248,0.5754,0.596,0.4876,0.5762,0.6923,0.5556,0.107,0,35100,39696
Florida Gateway College,FL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,2047,0.703,0.1832,0.0762,0.0068,0.0015,0.6225806452,9408,3100,11747,0.6364,0.6537,0.5405,0.5385,0.6667,0.5,0.136,0,32500,37894
Lake-Sumter State College,FL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,3188,0.495,0.1139,0.2651,0.043,0.0053,0.5726329442,11833,3292,13276,0.4686,0.4698,0.28,0.6364,0.68,0.5,0.088,0,34900,39876
Luther Rice College & Seminary,GA,5,Private nonprofit,0,0,0.6757,NA,NA,NA,NA,NA,NA,In-person,212,0.5189,0.4057,0.0377,0.0142,0,0.4825581395,NA,9808,9808,0,0,0,NA,NA,NA,0.053,0,45400,47003
State College of Florida-Manatee-Sarasota,FL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,7251,0.5476,0.091,0.2487,0.0364,0.0062,0.5970004838,18651,3074,11595,0.3718,0.3959,0.2564,0.3668,0.4167,0.3333,0.16,0.001,34900,40318
Trinity International University-Florida,FL,5,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,66,0.197,0.2273,0.4545,0,0,0.3794466403,NA,14160,14160,NA,NA,NA,NA,NA,NA,0.047,0,45400,46989
Miami Dade College,FL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,40538,0.0399,0.1493,0.7127,0.0094,3e-4,0.7330800723,11892,2838,9661,0.4456,0.4349,0.3933,0.4542,0.6607,0,0.082,0,35600,40654
University of Miami,FL,5,Private nonprofit,0,0,0.1894,650,685,730,660,695,750,In-person,12215,0.4679,0.0899,0.2354,0.0451,0.0013,0.30353902,73776,57194,57194,0.8411,0.8609,0.7604,0.8526,0.8593,1,0.019,0,72900,75328
North Florida College,FL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,756,0.5701,0.3016,0.082,0.0053,0.0093,0.6987295826,9937,3054,11400,0.6051,0.6286,0.5789,0.5,NA,NA,0,NA,31900,33929
University of North Florida,FL,5,Public,0,0,0.705,520,565,620,490,540,590,In-person,13866,0.5834,0.1152,0.1588,0.0589,0.0026,0.4036370824,18984,6389,20793,0.6767,0.6708,0.7023,0.6695,0.8675,0.3333,0.057,0,49200,56343
Nova Southeastern University,FL,5,Private nonprofit,0,0,0.758,530,590,650,510,585,660,In-person,6885,0.2681,0.1468,0.3441,0.1197,0.0015,0.4749544627,53370,36300,36300,0.6198,0.5909,0.4675,0.6304,0.7957,1,0.023,0,55600,59209
Northwest Florida State College,FL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,3149,0.6291,0.1,0.1372,0.0279,0.0057,0.6069868996,12187,3246,11625,0.3793,0.3731,0.381,0.4364,0.3846,1,0.108,0,34100,39664
