name,team,nationality_1,jersey_number,position_1,position_2,archetype,height_ft,weight_lb,wingspan_ft,season_salary,years_in_the_nba,birthdate,rating_overall,rating_close_shot,rating_mid_range_shot,rating_three_point_shot,rating_free_throw,rating_shot_iq,rating_speed,rating_agility,rating_strength,rating_stamina,rating_overall_durability,rating_pass_accuracy,rating_ball_handle,rating_pass_iq,rating_group_defense,rating_interior_defense,rating_perimeter_defense,rating_steal,rating_block,rating_offensive_rebound,rating_defensive_rebound,pos,age,gp,w,l,min,pts,fgm,fga,fg_percent,x3pm,x3pa,x3p_percent,ftm,fta,ft_percent,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,x
Cam Reddish,Los Angeles Lakers,United States,5,SG,SF,Defensive Menace,"6'7""",217,"7'1""",2463946,6,1999-09-01,73,62,60,77,85,45,85,85,52,90,80,68,81,69,71,55,79,78,51,41,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Thomas,Brooklyn Nets,United States,24,SG,SF,3-Level Scoring Threat,"6'3""",210,"6'7""",4041249,4,2001-10-13,81,88,82,81,84,70,77,77,54,86,80,59,82,52,48,41,59,38,42,32,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Whitmore,Houston Rockets,United States,7,SF,PF,Shot-Creating 3-Level Threat,"6'7""",230,"6'9""",3379080,2,2004-07-08,78,86,83,79,70,65,84,84,68,88,80,68,86,69,56,57,67,49,57,51,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caris LeVert,Cleveland Cavaliers,United States,3,SG,SF,Inside-Out Shot Creator,"6'6""",205,"6'10""",16615384,9,1994-08-25,77,78,71,75,74,70,75,77,54,92,78,75,86,84,61,45,74,56,56,36,60,SG,28,74,45,29,2237.3,897,320,742,43.1,127,324,39.2,130,180,72.2,53,229,282,287,116,72,24,170,1838,1,0,194
Cason Wallace,Oklahoma City Thunder,United States,22,PG,SG,2-Way 3-Level Scoring Threat,"6'3""",195,"6'9""",5555880,2,2003-11-07,76,82,81,85,76,75,75,87,55,90,80,75,78,75,69,48,81,66,60,42,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charles Bassey,San Antonio Spurs,United States,28,C,NA,Board-Hunting Paint Protector,"6'10""",230,"7'3""",2087519,4,2000-10-28,73,83,69,62,60,40,77,77,69,80,80,35,42,48,64,69,57,53,88,79,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charles Brown Jr.,Charlotte Hornets,United States,44,SF,SG,Perimeter Shot Creator,"6'6""",199,"6'7""",NA,6,1997-02-02,68,75,76,79,82,55,73,73,55,80,83,62,77,60,51,40,65,51,60,67,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chet Holmgren,Oklahoma City Thunder,United States,7,C,PF,2-Way 3-Level Scoring Threat,"7'1""",195,"7'6""",10880640,3,2002-05-01,87,97,86,83,87,80,75,75,45,87,80,60,65,59,78,90,75,38,92,64,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boucher,Toronto Raptors,Saint Lucia,25,C,PF,Inside-Out Scoring Threat,"6'9""",200,"7'4""",10810000,8,1993-01-11,74,82,71,76,78,55,57,55,80,89,77,33,41,59,59,76,37,38,72,68,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Duarte,Chicago Bulls,Canada,27,SF,SG,3 & D Threat,"6'5""",190,"6'7""",5893768,4,1997-06-13,72,73,53,79,79,50,65,68,59,92,80,77,75,78,61,50,69,56,50,45,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Livingston,Milwaukee Bucks,United States,7,PF,SF,Interior Threat,"6'6""",220,"6'11""",1891857,2,2003-10-15,69,76,68,70,72,60,80,80,54,85,80,65,69,52,52,52,64,47,48,52,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Paul,San Antonio Spurs,United States,3,PG,NA,2-Way 3-Level Playmaker,"6'0""",175,"6'4""",10460000,20,1985-05-06,81,97,79,82,91,85,80,81,62,80,77,87,87,87,68,61,81,66,35,31,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian Braun,Denver Nuggets,United States,0,SF,SG,Catch & Shoot Ace,"6'6""",220,"6'7""",3089640,3,2001-04-17,76,67,56,82,76,75,83,83,46,93,80,69,69,68,65,40,79,41,57,52,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian Koloko,Los Angeles Lakers,Cameroon,35,C,NA,Paint Protector,"7'0""",230,"7'5""",NA,3,2000-06-20,72,65,60,29,63,75,72,72,59,80,80,37,42,52,62,75,37,41,89,75,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian Wood,Los Angeles Lakers,United States,35,C,PF,Interior Threat,"6'9""",214,"7'3""",3036040,10,1995-09-27,74,82,71,73,77,25,56,62,74,93,83,30,60,40,59,60,60,35,72,51,87,F,27,67,33,34,1738.4,1114,396,769,51.5,105,279,37.6,217,281,77.2,87,404,491,121,121,30,72,169,2070,12,0,-46
C.J. McCollum,New Orleans Pelicans,United States,3,PG,SG,Inside-Out ISO Specialist,"6'3""",190,"6'6""",33333333,12,1991-09-19,84,97,85,86,83,85,82,84,60,98,80,78,86,82,56,35,70,42,58,35,56,SG,31,75,38,37,2649.2,1568,587,1344,43.7,211,543,38.9,183,238,76.9,55,273,328,429,183,70,38,153,2746,6,0,59
Clint Capela,Atlanta Hawks,Switzerland,15,C,NA,Paint Beast,"6'10""",256,"7'5""",22265280,11,1994-05-18,80,86,50,25,64,70,58,60,85,92,83,34,48,35,71,84,53,38,85,96,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coby White,Chicago Bulls,United States,0,PG,SG,Inside-Out ISO Specialist,"6'5""",195,"6'5""",12000000,6,2000-02-16,81,82,72,81,82,70,85,85,56,90,80,79,86,84,53,49,64,36,40,33,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cody Martin,Charlotte Hornets,United States,11,SG,SF,Inside-Out Shot Creator,"6'6""",205,"6'10""",8120000,6,1995-09-28,76,75,42,78,73,75,68,72,58,90,80,74,73,78,62,48,69,59,58,39,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cody Williams,Utah Jazz,United States,5,SF,PF,Rim Attacker,"6'8""",180,"7'0""",5469120,1,2004-11-20,71,72,66,72,72,55,87,86,51,90,80,63,82,63,64,55,73,67,65,41,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cody Zeller,Atlanta Hawks,United States,40,C,NA,Board Hunter,"6'11""",240,"6'9""",3500000,12,1992-10-05,73,80,70,38,69,60,70,54,75,89,84,68,40,64,53,60,37,36,47,79,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colby Jones,Sacramento Kings,United States,20,SG,SF,Perimeter Defender,"6'6""",207,"6'8""",2120693,2,2002-05-28,71,93,68,62,67,75,74,75,48,90,80,67,68,70,54,49,71,70,37,59,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cole Anthony,Orlando Magic,United States,50,PG,SG,Balanced Point,"6'2""",185,"6'5""",12900000,5,2000-05-15,78,92,74,77,84,60,84,84,59,88,98,82,84,82,53,45,69,49,58,45,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cole Swider,Indiana Pacers,United States,21,PF,NA,Stretch Four,"6'8""",220,"6'8""",NA,3,1999-05-08,67,70,72,76,80,50,52,52,54,85,80,55,42,59,53,75,42,37,35,44,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colin Castleton,Los Angeles Lakers,United States,14,C,NA,Promising Prospect,"6'10""",250,"7'2""",NA,2,2000-05-25,68,73,64,40,73,50,58,54,63,80,80,50,57,60,52,62,32,32,70,64,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Collin Gillespie,Phoenix Suns,United States,12,PG,NA,Perimeter Threat,"6'1""",195,"6'4""",NA,3,1999-06-25,69,74,75,82,87,50,82,82,33,85,80,79,77,75,52,33,62,38,56,27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Collin Sexton,Utah Jazz,United States,2,SG,PG,Shot-Creating 3-Level Threat,"6'3""",190,"6'7""",18350000,7,1999-01-04,80,88,82,84,88,60,88,88,58,95,81,75,86,75,55,45,67,42,45,43,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corey Kispert,Washington Wizards,United States,24,SG,SF,Catch & Shoot Ace,"6'6""",224,"6'7""",5705887,4,1999-03-03,78,94,89,83,75,90,76,76,60,84,80,66,71,69,57,54,70,36,40,32,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cory Joseph,Orlando Magic,Canada,9,PG,SG,Perimeter Threat,"6'2""",200,"6'6""",3303771,14,1991-08-20,72,88,75,82,79,70,72,80,40,88,84,80,84,80,58,54,75,38,50,31,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craig Porter,Cleveland Cavaliers,United States,9,PG,NA,Perimeter Threat,"6'1""",180,"6'5""",1891857,2,2000-02-26,72,93,86,79,69,65,79,79,48,88,80,75,73,75,57,44,68,46,61,43,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daishen Nix,Minnesota Timberwolves,United States,12,PG,SG,Steady Playmaker,"6'5""",224,"6'7""",NA,4,2002-02-13,70,74,60,74,67,65,90,86,63,80,80,72,75,74,48,37,60,46,42,35,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalano Banton,Portland Trail Blazers,Canada,5,SG,PG,Steady Combo Guard,"6'7""",204,"6'10""",2196970,4,1999-11-07,75,78,72,73,71,70,76,76,66,80,80,78,76,79,56,40,68,46,56,46,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalen Terry,Chicago Bulls,United States,25,SG,SF,Rim Attacker,"6'7""",195,"7'1""",3510480,3,2002-07-12,73,87,72,70,67,70,76,76,58,85,80,76,80,78,63,43,69,59,67,48,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalton Knecht,Los Angeles Lakers,United States,4,SF,SG,Catch & Shoot Ace,"6'6""",204,"6'10""",3819120,1,2001-04-19,71,76,79,83,77,60,86,59,50,90,80,64,68,65,48,50,59,37,40,32,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Damian Lillard,Milwaukee Bucks,United States,0,PG,NA,Offensive Architect,"6'2""",195,"6'8""",48787676,13,1990-07-15,89,72,88,85,92,80,87,87,63,97,98,92,95,93,56,31,69,41,40,33,54,PG,32,58,27,31,2106.6,1866,556,1202,46.3,244,658,37.1,510,558,91.4,44,233,277,425,191,50,18,109,2849,16,2,105
Damion Lee,Phoenix Suns,United States,10,SG,SF,Catch & Shoot Ace,"6'6""",210,"6'8""",2087519,9,1992-10-21,74,78,76,85,90,85,68,74,55,80,79,62,70,57,50,57,60,37,35,38,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Angelo Russell,Los Angeles Lakers,United States,1,PG,NA,3-Level Scoring Playmaker,"6'3""",193,"6'10""",18692307,10,1996-02-23,81,83,81,83,80,70,81,81,54,93,83,87,90,88,54,40,65,41,52,31,47,PG,27,71,39,32,2304.1,1263,445,948,46.9,194,490,39.6,179,216,82.9,35,180,215,437,186,70,29,140,2288,9,0,85
Daniel Gafford,Dallas Mavericks,United States,21,C,NA,Paint Beast,"6'10""",234,"7'2""",13394160,6,1998-10-01,81,97,65,29,69,75,75,70,73,80,80,37,35,37,71,83,57,49,92,77,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Theis,New Orleans Pelicans,Germany,10,C,NA,2-Way 3-Level Scoring Threat,"6'8""",245,"7'0""",2087519,12,1992-04-04,74,88,76,80,70,65,57,67,82,90,65,69,49,54,67,79,53,37,82,69,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dante Exum,Dallas Mavericks,Australia,0,SF,SG,3PT Shot Creator,"6'5""",214,"6'10""",3150000,11,1995-07-13,75,85,73,86,70,70,79,82,48,80,83,75,75,77,57,27,76,37,35,37,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DaQuan Jeffries,Charlotte Hornets,United States,21,SF,SG,Mid-Range Scoring Threat,"6'5""",222,"6'11""",2463946,6,1997-08-30,70,60,75,66,76,50,79,79,57,80,80,55,70,53,50,54,58,42,57,45,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dario Saric,Denver Nuggets,Croatia,20,PF,C,Inside-Out Scoring Threat,"6'10""",225,"6'10""",5168000,11,1994-04-08,76,93,71,81,83,50,63,69,65,82,81,75,69,84,63,80,66,43,45,62,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dariq Whitehead,Brooklyn Nets,United States,0,SF,SG,Shot-Creating 3-Level Threat,"6'6""",220,"6'10""",3114240,2,2004-08-01,71,77,76,79,79,60,79,79,52,90,77,67,78,66,57,40,65,64,52,37,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darius Garland,Cleveland Cavaliers,United States,10,PG,SG,Offensive Architect,"6'1""",192,"6'5""",36725670,6,2000-01-26,82,88,86,82,84,65,88,88,40,95,80,92,89,95,53,31,69,56,32,34,42,PG,23,69,40,29,2447.2,1490,522,1129,46.2,169,412,41,277,321,86.3,28,157,185,538,199,85,9,148,2602,18,0,438
DaRon Holmes II,Denver Nuggets,United States,14,PF,C,Stretch Four,"6'10""",235,"7'1""",3065640,1,2002-08-15,71,77,76,75,70,50,75,69,60,88,80,49,60,50,66,76,63,59,73,60,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Duke Jr.,San Antonio Spurs,United States,11,SG,SF,Secondary Ball-Handler,"6'4""",204,"6'8""",NA,4,1999-10-13,69,68,73,69,79,70,83,83,55,80,83,62,73,60,46,40,60,63,35,52,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Roddy,Atlanta Hawks,United States,28,SF,PF,Promising Prospect,"6'4""",255,"7'0""",2847240,3,2001-03-27,73,72,72,71,71,70,75,74,73,88,80,62,66,60,57,64,65,38,47,48,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davion Mitchell,Toronto Raptors,United States,45,PG,SG,2-Way Perimeter Shot Creator,"6'0""",202,"6'4""",6451077,4,1998-09-05,72,90,81,80,81,25,82,88,60,90,80,74,86,74,64,44,87,33,30,34,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Day'Ron Sharpe,Brooklyn Nets,United States,20,C,NA,Board-Hunting Paint Protector,"6'9""",265,"7'0""",3989122,4,2001-11-06,74,79,49,48,61,50,61,61,79,80,80,62,58,66,62,69,60,41,81,93,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Aaron Fox,Sacramento Kings,United States,5,PG,NA,2-Way 3-Level Playmaker,"6'3""",185,"6'7""",34848340,8,1997-12-20,88,97,88,80,73,80,97,93,46,96,80,85,88,88,71,34,84,83,51,38,54,PG,25,73,44,29,2435.2,1826,682,1331,51.2,119,367,32.4,343,440,78,40,266,306,447,181,83,23,172,3001,11,0,176
Dean Wade,Cleveland Cavaliers,United States,32,PF,SF,Stretch Four,"6'9""",228,"6'10""",6166667,6,1996-11-20,72,78,70,83,65,70,62,68,60,80,79,38,60,55,61,50,67,56,55,43,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deandre Ayton,Portland Trail Blazers,Bahamas,2,C,NA,Inside The Arc Board Hunter,"7'0""",250,"7'6""",34005126,7,1998-07-23,83,96,92,59,80,75,75,65,85,90,81,53,61,70,63,78,49,43,61,72,90,C,24,67,36,31,2035.3,1203,522,887,58.9,7,24,29.2,152,200,76,172,495,667,115,120,37,53,190,2326,36,0,-7
De'Andre Hunter,Atlanta Hawks,United States,12,PF,SF,2-Way Stretch Four,"6'8""",221,"7'2""",21696429,6,1997-12-02,79,91,80,83,91,70,76,83,65,90,80,67,70,64,64,63,83,38,47,34,57,SF,25,67,35,32,2125.6,1029,379,822,46.1,100,286,35,171,207,82.6,46,238,284,94,82,35,17,199,1585,1,0,-18
DeAndre Jordan,Denver Nuggets,United States,6,C,NA,Board-Hunting Paint Protector,"6'11""",265,"7'6""",NA,17,1988-07-21,74,74,25,25,36,75,65,62,85,92,94,25,30,66,59,70,57,40,72,91,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Anthony Melton,Golden State Warriors,United States,8,SG,PG,Defensive Menace,"6'3""",200,"6'9""",12822000,7,1998-05-28,77,74,60,81,81,70,76,76,44,80,83,78,83,75,76,48,84,86,53,40,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dejounte Murray,New Orleans Pelicans,United States,5,SG,PG,2-Way 3-Level Combo Guard,"6'5""",180,"6'10""",25499599,9,1996-09-19,86,95,96,80,86,80,83,85,40,90,80,85,88,84,73,53,85,74,45,36,62,SG,26,74,38,36,2693.4,1515,612,1319,46.4,133,387,34.4,158,190,83.2,53,336,389,448,160,112,19,106,2887,8,1,-62
Delon Wright,Milwaukee Bucks,United States,55,PG,SG,Defensive Menace,"6'5""",185,"6'8""",2087519,10,1992-04-26,75,69,68,80,85,60,73,84,58,90,84,80,86,75,75,49,84,96,52,38,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeMar DeRozan,Sacramento Kings,United States,10,SF,PF,Shot-Creating 3-Level Threat,"6'6""",220,"6'9""",23400000,16,1989-08-07,87,96,93,76,82,80,82,82,73,88,91,73,83,75,59,50,70,43,55,33,53,SF,33,74,37,37,2681.6,1816,657,1303,50.4,46,142,32.4,456,523,87.2,34,309,343,377,153,83,36,186,2997,6,0,67
Deni Avdija,Portland Trail Blazers,Israel,8,SF,PF,2-Way Inside-Out Shot Creator,"6'9""",210,"6'9""",15625000,5,2001-01-03,80,84,66,83,84,70,73,79,65,89,84,79,78,79,67,62,80,40,52,44,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dennis Schroder,Brooklyn Nets,Germany,17,PG,SG,Shot-Creating 3-Level Threat,"6'1""",172,"6'8""",13025250,12,1993-09-15,78,79,86,81,87,75,84,88,46,93,80,82,86,80,55,34,73,40,40,33,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dereck Lively II,Dallas Mavericks,United States,2,C,NA,Paint Beast,"7'1""",230,"7'7""",5014560,2,2004-02-12,81,95,60,52,59,80,50,57,70,80,80,69,52,68,65,78,57,41,85,77,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Jones Jr.,Los Angeles Clippers,United States,55,SF,PF,High Flyer,"6'6""",210,"7'0""",9523810,9,1997-02-15,77,93,68,77,74,60,77,79,59,83,78,65,68,54,68,67,79,42,65,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick White,Boston Celtics,United States,9,SG,PG,2-Way 3-Level Combo Guard,"6'4""",190,"6'8""",20071429,8,1994-07-02,86,94,84,85,89,85,88,93,46,85,81,88,86,82,81,58,93,81,72,36,53,PG,28,82,57,25,2319.3,1017,350,758,46.2,149,391,38.1,168,192,87.5,52,241,293,321,95,54,76,177,2145,7,0,488
Desmond Bane,Memphis Grizzlies,United States,22,SG,SF,2-Way 3-Level Shot Creator,"6'5""",215,"6'4""",34005250,5,1995-06-25,83,80,85,88,86,50,74,80,56,92,78,80,82,80,67,59,80,43,53,37,54,SG,24,58,38,20,1841.5,1247,450,939,47.9,166,407,40.8,181,205,88.3,43,248,291,254,126,56,22,150,2085,1,0,356
Devin Booker,Phoenix Suns,United States,1,PG,SG,Offensive Architect,"6'6""",206,"6'8""",49205800,10,1996-10-30,93,97,94,87,91,80,83,80,59,95,81,95,93,96,63,58,77,40,50,38,52,SG,26,53,34,19,1835.4,1471,527,1067,49.4,111,316,35.1,306,358,85.5,46,194,240,293,145,51,18,159,2261,5,0,247
Devin Carter,Sacramento Kings,United States,22,PG,SF,Rim Attacker,"6'3""",195,"6'7""",4689000,1,2002-03-18,71,74,67,73,74,50,98,89,60,92,80,79,79,79,62,58,73,55,55,47,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devin Vassell,San Antonio Spurs,United States,24,SG,SF,2-Way Perimeter Shot Creator,"6'5""",200,"6'10""",29347826,5,2000-08-23,81,95,91,81,79,50,72,83,60,89,82,76,82,79,68,62,83,43,45,31,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devonte' Graham,Portland Trail Blazers,United States,3,PG,SG,Inside the Arc Shot Creator,"6'1""",195,"6'6""",2850000,7,1995-02-22,72,74,76,72,75,70,82,82,34,95,83,82,86,83,52,30,70,42,37,33,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dillon Brooks,Houston Rockets,Canada,9,SF,PF,2-Way Perimeter Shot Creator,"6'6""",225,"6'6""",22255493,8,1996-01-22,79,76,86,79,84,50,75,91,65,88,85,59,74,58,74,67,91,58,35,37,48,SF,27,73,46,27,2214.3,1047,392,991,39.6,143,439,32.6,120,154,77.9,45,199,244,189,104,65,16,240,1762,0,0,205
Dillon Jones,Oklahoma City Thunder,United States,3,PF,SF,Perimeter Defender,"6'6""",235,"6'10""",2622360,1,2001-10-29,69,72,70,72,80,50,75,82,70,85,80,68,70,69,59,67,69,60,37,62,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D.J. Carton,Toronto Raptors,United States,3,PG,NA,3PT Threat,"6'3""",200,"6'7""",NA,4,2000-08-05,68,75,73,79,78,50,82,80,49,85,80,75,79,63,49,45,66,45,30,40,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
